Clams - Canned,Clams - Canned, | Support = 0.01809409
Onions Granulated, | Support = 0.01728991
Puree - Passion Fruit, | Support = 0.01849618
Relish, | Support = 0.026538
Sugar - Individual Portions, | Support = 0.01889827
Tea - Apple Green Tea, | Support = 0.01970245
Tomato - Peeled Italian Canned, | Support = 0.01447527
Clams - Canned,Onions Granulated, | Support = 0.0008041817
Clams - Canned,Puree - Passion Fruit, | Support = 0.0004020909
Clams - Canned,Relish, | Support = 0.0004020909
Clams - Canned,Sugar - Individual Portions, | Support = 0.0008041817
Clams - Canned,Tea - Apple Green Tea, | Support = 0.0004020909
Clams - Canned,Tomato - Peeled Italian Canned, | Support = 0.0004020909
Onions Granulated,Puree - Passion Fruit, | Support = 0.0004020909
Onions Granulated,Relish, | Support = 0.0004020909
Onions Granulated,Sugar - Individual Portions, | Support = 0.0008041817
Onions Granulated,Tea - Apple Green Tea, | Support = 0.0008041817
Onions Granulated,Tomato - Peeled Italian Canned, | Support = 0.0004020909
Puree - Passion Fruit,Relish, | Support = 0.0004020909
Puree - Passion Fruit,Sugar - Individual Portions, | Support = 0.0008041817
Puree - Passion Fruit,Tea - Apple Green Tea, | Support = 0.0004020909
Puree - Passion Fruit,Tomato - Peeled Italian Canned, | Support = 0.0004020909
Relish,Sugar - Individual Portions, | Support = 0.0008041817
Relish,Tea - Apple Green Tea, | Support = 0.0008041817
Relish,Tomato - Peeled Italian Canned, | Support = 0.0004020909
Sugar - Individual Portions,Tea - Apple Green Tea, | Support = 0.0008041817
Sugar - Individual Portions,Tomato - Peeled Italian Canned, | Support = 0.001608363
Tea - Apple Green Tea,Tomato - Peeled Italian Canned, | Support = 0.0004020909
Clams - Canned,Onions Granulated,Puree - Passion Fruit, | Support = 0.0008041817
Clams - Canned,Onions Granulated,Relish, | Support = 0.0008041817
Clams - Canned,Onions Granulated,Sugar - Individual Portions, | Support = 0.0008041817
Clams - Canned,Onions Granulated,Tea - Apple Green Tea, | Support = 0.0008041817
Clams - Canned,Onions Granulated,Tomato - Peeled Italian Canned, | Support = 0.0008041817
Clams - Canned,Puree - Passion Fruit,Relish, | Support = 0.0004020909
Clams - Canned,Puree - Passion Fruit,Sugar - Individual Portions, | Support = 0.0004020909
Clams - Canned,Puree - Passion Fruit,Tea - Apple Green Tea, | Support = 0.0004020909
Clams - Canned,Puree - Passion Fruit,Tomato - Peeled Italian Canned, | Support = 0.0004020909
Clams - Canned,Relish,Sugar - Individual Portions, | Support = 0.0004020909
Clams - Canned,Relish,Tea - Apple Green Tea, | Support = 0.0004020909
Clams - Canned,Relish,Tomato - Peeled Italian Canned, | Support = 0.0004020909
Clams - Canned,Sugar - Individual Portions,Tea - Apple Green Tea, | Support = 0.0004020909
Clams - Canned,Sugar - Individual Portions,Tomato - Peeled Italian Canned, | Support = 0.0004020909
Clams - Canned,Tea - Apple Green Tea,Tomato - Peeled Italian Canned, | Support = 0.0004020909
Clams - Canned,Onions Granulated,Puree - Passion Fruit,Relish, | Support = 0.0008041817
Clams - Canned,Onions Granulated,Puree - Passion Fruit,Sugar - Individual Portions, | Support = 0.0008041817
Clams - Canned,Onions Granulated,Puree - Passion Fruit,Tea - Apple Green Tea, | Support = 0.0008041817
Clams - Canned,Onions Granulated,Puree - Passion Fruit,Tomato - Peeled Italian Canned, | Support = 0.0008041817
Clams - Canned,Onions Granulated,Relish,Sugar - Individual Portions, | Support = 0.0004020909
Clams - Canned,Onions Granulated,Relish,Tea - Apple Green Tea, | Support = 0.0004020909
Clams - Canned,Onions Granulated,Relish,Tomato - Peeled Italian Canned, | Support = 0.0004020909
Clams - Canned,Onions Granulated,Sugar - Individual Portions,Tea - Apple Green Tea, | Support = 0.0004020909
Clams - Canned,Onions Granulated,Sugar - Individual Portions,Tomato - Peeled Italian Canned, | Support = 0.0004020909
Clams - Canned,Onions Granulated,Tea - Apple Green Tea,Tomato - Peeled Italian Canned, | Support = 0.0004020909
Clams - Canned,Onions Granulated,Puree - Passion Fruit,Relish,Sugar - Individual Portions, | Support = 0.0008041817
Clams - Canned,Onions Granulated,Puree - Passion Fruit,Relish,Tea - Apple Green Tea, | Support = 0.0008041817
Clams - Canned,Onions Granulated,Puree - Passion Fruit,Relish,Tomato - Peeled Italian Canned, | Support = 0.0008041817
Clams - Canned,Onions Granulated,Puree - Passion Fruit,Sugar - Individual Portions,Tea - Apple Green Tea, | Support = 0.0004020909
Clams - Canned,Onions Granulated,Puree - Passion Fruit,Sugar - Individual Portions,Tomato - Peeled Italian Canned, | Support = 0.0004020909
Clams - Canned,Onions Granulated,Puree - Passion Fruit,Tea - Apple Green Tea,Tomato - Peeled Italian Canned, | Support = 0.0004020909
Clams - Canned,Onions Granulated,Puree - Passion Fruit,Relish,Sugar - Individual Portions,Tea - Apple Green Tea, | Support = 0.0008041817
Clams - Canned,Onions Granulated,Puree - Passion Fruit,Relish,Sugar - Individual Portions,Tomato - Peeled Italian Canned, | Support = 0.0008041817
Clams - Canned,Onions Granulated,Puree - Passion Fruit,Relish,Tea - Apple Green Tea,Tomato - Peeled Italian Canned, | Support = 0.0004020909
